timestamp,signal,peak,trough,threshold,beat_detected,bpm
4515478,2799,4077,2616,3346,0,170
4515538,2494,4071,2325,3198,0,170
4515624,2833,4065,2331,3198,0,170
4515684,2880,4059,2337,3198,0,170
4515770,2815,4053,2343,3198,0,170
4515830,2836,4047,2349,3198,0,170
4515916,2800,4041,2355,3198,0,170
4515976,2815,4035,2361,3198,0,170
4516062,2827,4029,2367,3198,0,170
4516122,2834,4023,2373,3198,0,170
4516283,2265,4019,2265,3143,0,170
4516343,2605,4013,2271,3142,0,170
4516409,2871,4009,2275,3142,0,170
4516469,2894,4003,2281,3142,0,170
4516555,2814,3997,2287,3142,0,170
4516615,2797,3991,2293,3142,0,170
4516701,2828,3985,2299,3142,0,170
4516766,2809,3979,2305,3142,0,170
4516832,2784,3975,2309,3142,0,170
4516892,2749,3969,2315,3142,0,170
4516978,2752,3963,2321,3142,0,170
4517038,2832,3957,2327,3142,0,170
4517124,2823,3951,2333,3142,0,170
4517184,2811,3945,2339,3142,0,170
4517254,2832,3941,2343,3142,0,170
4517314,2800,3935,2349,3142,0,170
4517400,2823,3929,2355,3142,0,170
4517460,2811,3923,2361,3142,0,170
4517546,2806,3917,2367,3142,0,170
4517606,2806,3911,2373,3142,0,170
4517692,2835,3905,2379,3142,0,170
4517752,2826,3899,2385,3142,0,170
4517823,2816,3895,2389,3142,0,170
4517883,2803,3889,2395,3142,0,0
4517969,2830,3883,2401,3142,0,0
4518029,2800,3877,2407,3142,0,0
4518115,2813,3871,2413,3142,0,0
4518175,2838,3865,2419,3142,0,0
4518261,2801,3859,2425,3142,0,0
4518325,2826,3853,2431,3142,0,0
4518391,2799,3849,2435,3142,0,0
4518451,2816,3843,2441,3142,0,0
4518537,2821,3837,2447,3142,0,0
4518597,2826,3831,2453,3142,0,0
4518683,2832,3825,2459,3142,0,0
4518743,2831,3819,2465,3142,0,0
4518829,2825,3813,2471,3142,0,0
4518894,2826,3807,2477,3142,0,0
4518960,2802,3803,2481,3142,0,0
4519020,2833,3797,2487,3142,0,0
4519106,2839,3791,2493,3142,0,0
4519166,2836,3785,2499,3142,0,0
4519252,2793,3779,2505,3142,0,0
4519312,2799,3773,2511,3142,0,0
4519398,2818,3767,2517,3142,0,0
4519463,2795,3761,2523,3142,0,0
4519529,2803,3757,2527,3142,0,0
4519589,2815,3751,2533,3142,0,0
4519675,2828,3745,2539,3142,0,0
4519735,2829,3739,2545,3142,0,0
4519821,2822,3733,2551,3142,0,0
4519881,2830,3727,2557,3142,0,0
4519967,2820,3721,2563,3142,0,0
4520032,2817,3715,2569,3142,0,0
4520098,2800,3711,2573,3142,0,0
4520158,2816,3705,2579,3142,0,0
4520244,2833,3699,2585,3142,0,0
4520304,2812,3693,2591,3142,0,0
4520390,2811,3687,2597,3142,0,0
4520450,2815,3681,2603,3142,0,0
4520611,2273,3677,2273,2976,0,0
4520671,2627,3671,2279,2975,0,0
4520737,2860,3667,2283,2975,0,0
4520797,2881,3661,2289,2975,0,0
4520883,2814,3655,2295,2975,0,0
4520943,2816,3649,2301,2975,0,0
4521029,2829,3643,2307,2975,0,0
4521089,2832,3637,2313,2975,0,0
4521160,2835,3633,2317,2975,0,0
4521220,2803,3627,2323,2975,0,0
4521306,2829,3621,2329,2975,0,0
4521366,2821,3615,2335,2975,0,0
4521452,2821,3609,2341,2975,0,0
4521512,2827,3603,2347,2975,0,0
4521598,2828,3597,2353,2975,0,0
4521658,2827,3591,2359,2975,0,0
4521729,2837,3587,2363,2975,0,0
4521789,2820,3581,2369,2975,0,0
4521875,2813,3575,2375,2975,0,0
4521935,2827,3569,2381,2975,0,0
4522021,2801,3563,2387,2975,0,0
4522081,2797,3557,2393,2975,0,0
4522167,2820,3551,2399,2975,0,0
4522227,2832,3545,2405,2975,0,0
4522298,2846,3541,2409,2975,0,0
4522358,2814,3535,2415,2975,0,0
4522444,2819,3529,2421,2975,0,0
4522504,2833,3523,2427,2975,0,0
4522590,2822,3517,2433,2975,0,0
4522650,2815,3511,2439,2975,0,0
4522736,2828,3505,2445,2975,0,0
4522800,2818,3499,2451,2975,0,0
4522866,2806,3495,2455,2975,0,0
4522926,2827,3489,2461,2975,0,0
